# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 5.00000000e+00
# Aref          : 5.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1.53571         	1.89580461e+00	9.47902307e-01	9.47902307e-01	9.01096961e-05	1.24673455e-05	7.76423505e-05	-3.25875025e-05	2.11719974e-19	1.16857170e-19	4.62332242e-19	3.48023291e-19	1.14308951e-19
1.57143         	1.88409037e+00	9.42045183e-01	9.42045183e-01	8.45561195e-05	1.12499264e-05	7.33061931e-05	-3.10281333e-05	2.04512246e-19	1.17314933e-19	4.48767629e-19	3.41698747e-19	1.07068882e-19
1.60714         	1.87299628e+00	9.36498140e-01	9.36498140e-01	9.07164537e-05	1.46678586e-05	7.60485951e-05	-3.06903683e-05	1.98282487e-19	1.17794022e-19	4.37697610e-19	3.36642827e-19	1.01054783e-19
1.64286         	1.86233821e+00	9.31169107e-01	9.31169107e-01	7.73683099e-05	9.74303275e-06	6.76252772e-05	-2.89411222e-05	1.92072287e-19	1.18428845e-19	4.27523312e-19	3.32190501e-19	9.53328112e-20
1.67857         	1.85244320e+00	9.26221602e-01	9.26221602e-01	7.97899342e-05	1.21838816e-05	6.76060527e-05	-2.77110855e-05	1.71769543e-19	1.21331672e-19	3.90948041e-19	3.16805693e-19	7.41423488e-20
1.71429         	1.84291858e+00	9.21459292e-01	9.21459292e-01	8.21772837e-05	1.42755087e-05	6.79017750e-05	-2.68131331e-05	1.54390666e-19	1.23822062e-19	3.61022095e-19	3.04333110e-19	5.66889853e-20
1.75            	1.83385643e+00	9.16928216e-01	9.16928216e-01	8.58395249e-05	1.78569721e-05	6.79825528e-05	-2.50627904e-05	1.38654571e-19	1.24879108e-19	3.32968563e-19	2.91363389e-19	4.16051732e-20
1.78571         	1.82489809e+00	9.12449045e-01	9.12449045e-01	8.14885697e-05	1.65361889e-05	6.49523808e-05	-2.42080959e-05	1.24526613e-19	1.25535817e-19	3.08121713e-19	2.79596673e-19	2.85250401e-20
1.82143         	1.81660606e+00	9.08303032e-01	9.08303032e-01	8.40932557e-05	1.93567009e-05	6.47365548e-05	-2.26899269e-05	1.20559606e-19	1.24820107e-19	3.03554152e-19	2.76597183e-19	2.69569684e-20
1.85714         	1.80854936e+00	9.04274680e-01	9.04274680e-01	8.65668906e-05	2.13011707e-05	6.52657200e-05	-2.19822747e-05	1.29481608e-19	1.22623084e-19	3.25086687e-19	2.85166428e-19	3.99202592e-20
1.89286         	1.80059513e+00	9.00297566e-01	9.00297566e-01	9.06220893e-05	2.46177792e-05	6.60043101e-05	-2.06932654e-05	1.37159334e-19	1.20764519e-19	3.44167569e-19	2.92848303e-19	5.13192658e-20
1.92857         	1.79337304e+00	8.96686521e-01	8.96686521e-01	8.53512172e-05	2.26409377e-05	6.27102795e-05	-2.00346709e-05	1.43456632e-19	1.19268702e-19	3.59635035e-19	2.99086220e-19	6.05488155e-20
1.96429         	1.78627030e+00	8.93135152e-01	8.93135152e-01	9.45780410e-05	2.86070788e-05	6.59709622e-05	-1.86819417e-05	1.49563619e-19	1.18250524e-19	3.74199497e-19	3.05350273e-19	6.88492239e-20
2               	1.77921601e+00	8.89608003e-01	8.89608003e-01	7.88464988e-05	2.12682417e-05	5.75782571e-05	-1.81550077e-05	1.54775971e-19	1.17173957e-19	3.84839402e-19	3.09593658e-19	7.52457439e-20
